id;title
1;"Amino acids"
2;"Adenine, Uracil, Guanine and Cytosine"
3;"Transcription"
4;"Ribosome"
5;"Exons and introns"
6;"Hristo Smirnenski in "Winter evenings""
7;"A six-winged angel"
8;"The iron lamp"
9;"Peyo Yavorov"
10;"Retrospection"
11;"Bit"
12;"Do-While"
13;"JavaScript"
14;"Inline-Block Elements"
15;"Programs that control peripherals"
16;"Fire"
17;"Neil Armstring in 1969"
18;"France"
19;"Mesopotamia"
20;"UK, France, Russia, China and United States"
21;"Superman"
22;"Doctor Strange"
23;"Steppenwolf"
24;"Hulk"
25;"Makes people tell the truth"